date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi
2022-08-01,,,,,,,,,,,
2022-08-02,,,,,,,,,,,
2022-08-03,,,,,,,,,,,
2022-08-04,67.08235294117648,46.641176470588235,586.8235294117648,33.56470588235294,19.68235294117647,110.23529411764706,0.7911764705882354,0.0,2.0264705882352945,,
2022-08-05,47.4625,33.112500000000004,568.5833333333334,36.47083333333334,18.0625,69.58333333333333,0.5758333333333333,0.0,0.88125,101.70588235294117,68.76470588235294
2022-08-06,40.895833333333336,28.566666666666666,481.6666666666667,36.15833333333333,14.904166666666667,38.875,0.3958333333333333,0.0,0.8729166666666667,99.5,68.08333333333333
2022-08-07,37.641666666666666,26.070833333333336,387.75,27.52916666666667,12.366666666666667,55.666666666666664,0.3025,0.0,1.175,73.875,52.041666666666664
2022-08-08,37.125,25.625,376.0,21.133333333333333,8.358333333333333,64.45833333333333,0.3758333333333333,0.0,1.6520833333333333,87.29166666666667,63.666666666666664
2022-08-09,50.15833333333333,34.74583333333333,367.8333333333333,18.641666666666666,16.3125,75.83333333333333,0.2816666666666667,0.0,1.7458333333333333,74.625,53.333333333333336
2022-08-10,51.17916666666667,35.62916666666667,500.3333333333333,28.162499999999998,20.579166666666666,40.375,0.24750000000000003,0.0,1.15625,121.625,75.33333333333333
2022-08-11,28.445833333333336,19.625,402.125,22.916666666666668,16.658333333333335,39.375,0.19125,0.0,0.5354166666666667,75.625,52.041666666666664
2022-08-12,39.13333333333333,27.1875,464.5,28.958333333333332,21.454166666666666,34.125,0.17458333333333334,0.0,0.7374999999999999,63.458333333333336,37.416666666666664
2022-08-13,73.24583333333334,51.09166666666667,549.5833333333334,28.145833333333332,24.25,79.66666666666667,0.5291666666666667,0.0,1.4854166666666666,118.58333333333333,74.25
